Date,RELIANCE,TCS,HINDUNILVR,INFY,HDFC,BHARTIARTL,ITC,ASIANPAINT,NESTLEIND,HCLTECH,MARUTI,LT,TITAN,BRITANNIA,BAJAJ-AUTO,EICHERMOT,DRREDDY,DMART,PIDILITIND,HDFCBANK,KOTAKBANK,ICICIBANK,AXISBANK
23-09-2018,1246.137817,2183.699951,1608.400024,730.049988,1754.5,310.849274,297.75,1293.300049,9699.650391,543.900024,7347.950195,1272.099976,805.599976,2911.75,2687.449951,2418.540039,2530.649902,1594.5,1045.849976,1003.025024,1141.599976,305.549988,613.25
30-09-2018,1039.001343,2102.649902,1558.550049,724.599976,1708.650024,274.16806,276.5,1209.5,9418.900391,542,6904.350098,1227.400024,792.099976,2723.850098,2543.050049,2119.044922,2394.550049,1648.099976,966.849976,982.650024,1052.199951,307.299988,568.5
07-10-2018,1115.97168,1918.300049,1569.599976,678.799988,1730.300049,266.317627,275.200012,1261.199951,9699.849609,492.575012,7287.200195,1235.25,805.150024,2878.75,2623.050049,2390.375,2450.5,1654.949951,993.299988,990.924988,1167.150024,319.399994,584.900024
14-10-2018,1090.95874,1913.199951,1578.400024,683.549988,1660.25,263.792633,289.450012,1235.400024,9609.049805,479.25,6756.450195,1206.050049,788.700012,2781.75,2510.25,2162.530029,2552.350098,1577.75,970.599976,983.875,1198.949951,315.450012,562.549988
21-10-2018,1035.088379,1799.099976,1558.25,633.599976,1702.099976,273.571259,280.899994,1190.300049,9569.450195,483.299988,6717.299805,1197.449951,806.900024,2660.25,2513.75,2180.639893,2404.550049,1571.650024,936.299988,980.599976,1158.599976,315.649994,537.700012
28-10-2018,1064.806641,1913.449951,1638.449951,662.25,1824.400024,277.335785,283.25,1247,10229.65039,502.299988,7135.450195,1358.199951,871,2800.5,2657.75,2267.409912,2423.25,1383.050049,989.299988,974.724976,1133.199951,354.450012,610.650024
04-11-2018,1083.182495,1909.199951,1672.599976,659.5,1816.099976,275.223969,277.25,1295.599976,10226,513.950012,7283.5,1368.599976,847.650024,2873.225098,2693.050049,2249.524902,2400,1365.699951,1042,972.700012,1135.550049,356.850006,613.200012
11-11-2018,1116.813721,1886.599976,1689.099976,650.849976,1889,305.523865,276.549988,1321.300049,10687.25,511.100006,7341.200195,1399.050049,921.349976,2973.824951,2695.350098,2473.5,2477.050049,1442.949951,1118.900024,1002.150024,1168.599976,367.549988,619.799988
18-11-2018,1092.494263,1812.550049,1675.099976,620.75,1873.699951,301.02478,280.5,1314.400024,10303.25,489.524994,7411.100098,1410.150024,915.75,3004.350098,2590.350098,2410.905029,2608.699951,1477.5,1158.25,1002.75,1170.599976,352.049988,614.549988
25-11-2018,1156.58667,1968.25,1754,667.450012,1989,287.848907,285.799988,1345.949951,10764.84961,507.5,7661.600098,1432.5,927.099976,3169.75,2745.699951,2340.530029,2722.199951,1464.300049,1163.300049,1064.224976,1233.949951,355.149994,625.75
02-12-2018,1123.153687,1995.199951,1824.300049,682.799988,1951.349976,279.080322,274.049988,1318.650024,10404.59961,480.975006,7313.950195,1399.900024,916.599976,3005.350098,2786.199951,2236.925049,2692.550049,1487.900024,1140.099976,1053.800049,1279.650024,352.200012,603.950012
09-12-2018,1101.75647,1989.75,1860.550049,706.049988,1904.099976,293.128448,275.75,1340.949951,10985.90039,480.600006,7662.149902,1411.400024,931.5,3135.75,2823.149902,2371.61499,2591.699951,1456.550049,1167.199951,1047.849976,1255.949951,351.899994,620.25
